Алаколь;<img src="lake_40.png">;Казахстан;2696;54;22;343;соленое;нет;Азия
Вулластон;<img src="lake_45.png">;Канада;2681;97;21;398;пресное;нет;Северная Америка
Илиамна;<img src="lake_75.png">;США;2622;301;44;15;пресное;Квичак;Северная Америка
Хубсугул;<img src="lake_87.png">;Монголия;2620;262;120;1645;пресное;Эгийн-Гол;Азия
Руква;<img src="lake_9.png">;Танзания;2600;15;3;792;соленое;нет;Африка
Фром;<img src="lake_8.png">;Австралия;2596;2;1;1;соленое;нет;Австралия и Океания
Поопо;<img src="lake_26.png">;Боливия;2500;3;1;3686;соленое;нет;Южная Америка
Туз;<img src="lake_92.png">;Турция;2500;5;2;905;соленое;нет;Азия
Мистассини;<img src="lake_119.png">;Канада;2335;183;75;372;пресное;Руперт;Северная Америка
Эдуард (Рутанзиге);<img src="lake_96.png">;Уганда, ДР Конго;2325;112;17;912;пресное;Семлики;Африка
Далайнор (Хулун-Нур);<img src="lake_89.png">;Китай;2315;8;6;539;пресное;нет;Азия
Маи-Ндомбе;<img src="lake_63.png">;ДР Конго;2305;10;5;292;пресное;Лукени, Кассаи;Африка
Ньюэлтин;<img src="lake_124.png">;Канада;2279;?;100;278;пресное;Тлевиаза;Северная Америка
Тайху;<img src="lake_88.png">;Китай;2250;5;2;0;пресное;Сучжоухэ;Азия
Тана;<img src="lake_98.png">;Эфиопия;2156;14;?;1830;пресное;Голубой Нил;Африка
Саутерн-Индиан-Лейк;<img src="lake_61.png">;Канада;2015;30;10;254;пресное;нет;Северная Америка
Чаны;<img src="lake_85.png">;Россия;2000;7;2;106;соленое;нет;Азия
Маникуаган;<img src="lake_25.png">;Канада;1942;350;85;359;пресное;Маникуаган;Северная Америка
Окичоби;<img src="lake_110.png">;США;1890;4;3;5;пресное;нет;Северная Америка
Веттерн;<img src="lake_99.png">;Швеция;1886;128;41;88;пресное;Мутала;Европа
Буэнос-Айрес (Хенераль-Каррера);<img src="lake_44.png">;Аргентина, Чили;1850;586;400;217;пресное;Бейкер, Рио-Десеадо;Южная Америка
Зайсан;<img src="lake_36.png">;Казахстан;1810;15;6;420;пресное;Иртыш;Азия
Бейкер;<img src="lake_125.png">;Канада;1783;?;60;2;пресное;Телон, Казан;Северная Америка
Ла-Мартр;<img src="lake_132.png">;Канада;1776;?;10;265;пресное;нет;Северная Америка
Кьога;<img src="lake_28.png">;Уганда;1720;6;3;1034;пресное;Виктория-Нил;Африка
Пончартрейн;<img src="lake_55.png">;США;1630;5;3;1;соленое;нет;Северная Америка
Тенгиз;<img src="lake_91.png">;Казахстан;1590;8;?;304;соленое;нет;Азия
Эль-Мильх;<img src="lake_94.png">;Ирак;1510;?;20;29;соленое;Вади-эль-Убайид;Азия
Мверу-Вантипа;<img src="lake_30.png">;Замбия;1500;5;2;933;соленое;нет;Африка
Хар-Ус-Нуур;<img src="lake_35.png">;Монголия;1486;5;2;1157;пресное;Чоно-Харайхын-Гол;Азия
Хяргас-Нуур;<img src="lake_90.png">;Монголия;1468;75;31;1028;соленое;нет;Азия
Лак-Сёль;<img src="lake_129.png">;Канада;1450;47;7;357;пресное;Инглиш, Виннипег;Северная Америка
Клэр;<img src="lake_116.png">;Канада;1436;2;1;213;пресное;нет;Северная Америка
Кри;<img src="lake_130.png">;Канада;1435;60;15;487;пресное;Кри;Северная Америка
Эль-Хаммар;<img src="lake_95.png">;Ирак;1350;2;1;4;соленое;Шатт-эль-Араб;Азия
Мус;<img src="lake_123.png">;Канада;1340;20;4;255;пресное;нет;Северная Америка
Яткайед;<img src="lake_49.png">;Канада;1334;?;24;140;пресное;Казан;Северная Америка
Ла-Ронж;<img src="lake_131.png">;Канада;1330;42;15;366;пресное;Рапид;Северная Америка
Сидар;<img src="lake_52.png">;Канада;1321;10;4;253;пресное;Саскачеван;Северная Америка
Архентино;<img src="lake_47.png">;Аргентина;1320;500;167;179;пресное;Рио-Санта-Крус;Южная Америка
